State,Type,Gender,Age_group
A & N Islands,Love Affairs,Female,T
A & N Islands,Other Causes (Please Specity),Female,T
A & N Islands,Other Prolonged Illness,Male,T
A & N Islands,Failure in Examination,Male,T
A & N Islands,Other Prolonged Illness,Female,A
A & N Islands,Causes Not known,Female,A
A & N Islands,Other Causes (Please Specity),Female,A
A & N Islands,Family Problems,Female,A
A & N Islands,Failure in Examination,Female,A
A & N Islands,Insanity/Mental Illness,Female,A
A & N Islands,Other Causes (Please Specity),Male,A
A & N Islands,Other Prolonged Illness,Male,A
A & N Islands,Family Problems,Male,A
A & N Islands,Love Affairs,Male,A
A & N Islands,Insanity/Mental Illness,Male,A
A & N Islands,Failure in Examination,Male,A
A & N Islands,Causes Not known,Male,A
A & N Islands,Other Prolonged Illness,Female,A
A & N Islands,Causes Not known,Female,A
A & N Islands,Death of Dear Person,Female,A
A & N Islands,Other Causes (Please Specity),Female,A
A & N Islands,Insanity/Mental Illness,Female,A
A & N Islands,Insanity/Mental Illness,Male,A
A & N Islands,Causes Not known,Male,A
A & N Islands,Other Prolonged Illness,Male,A
A & N Islands,Family Problems,Male,A
A & N Islands,Other Causes (Please Specity),Male,A
A & N Islands,Family Problems,Female,A
A & N Islands,Causes Not known,Female,A
A & N Islands,Other Prolonged Illness,Female,A
A & N Islands,Causes Not known,Male,A
A & N Islands,Family Problems,Male,A
A & N Islands,Insanity/Mental Illness,Male,A
A & N Islands,Other Causes (Please Specity),Male,A
A & N Islands,Other Prolonged Illness,Male,A
A & N Islands,Insanity/Mental Illness,Female,S
A & N Islands,Other Prolonged Illness,Female,S
A & N Islands,Causes Not known,Female,S
A & N Islands,Other Prolonged Illness,Male,S
A & N Islands,Insanity/Mental Illness,Male,S
A & N Islands,Family Problems,Male,S
A & N Islands,Other Causes (Please Specity),Male,S
A & N Islands,No Education,Female,S
A & N Islands,Middle,Female,S
A & N Islands,Primary,Female,S
A & N Islands,Matriculate/Secondary,Female,S
A & N Islands,Matriculate/Secondary,Male,S
A & N Islands,Graduate,Male,S
A & N Islands,No Education,Male,S
A & N Islands,Middle,Male,S
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,S
A & N Islands,Primary,Male,S
A & N Islands,By Hanging,Female,T
A & N Islands,By Hanging,Male,T
A & N Islands,By Fire/Self Immolation,Female,A
A & N Islands,By Consuming Other Poison,Female,A
A & N Islands,By Hanging,Female,A
A & N Islands,By Consuming Other Poison,Male,A
